Provider URN,Provider status,Provider type,Sector,Provider name,Provider address 1,Provider address 2,Provider town,Provider postcode,Local Authority,government_office_region_name,Event number,Event date,Event type group,Overall effectiveness,Outcomes in education and related learning activities,Outcomes for children and young people,Quality of care,Safeguarding children and young people,Leadership and management
SC035972,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Derbyshire,East Midlands,285553,21/01/2014,Interim inspection,2,0,0,0,0,0
SC408622,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Staffordshire,West Midlands,290577,19/03/2014,Interim inspection,2,0,0,0,0,0
SC064931,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Darlington,North East,283259,02/01/2014,Interim inspection,2,0,0,0,0,0
SC032250,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Dorset,South West,289697,06/03/2014,Interim inspection,3,0,0,0,0,0
SC034652,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Tower Hamlets,London,285845,16/01/2014,Full inspection,2,0,2,2,2,2
SC034652,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Tower Hamlets,London,291007,25/03/2014,Interim inspection,3,0,0,0,0,0
SC468747,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Devon,South West,287875,07/02/2014,Interim inspection,2,0,0,0,0,0
SC061952,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Gloucestershire,South West,288299,17/02/2014,Interim inspection,4,0,0,0,0,0
SC036157,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Kingston upon Hull,Yorkshire and The Humber,290149,14/03/2014,Interim inspection,3,0,0,0,0,0
SC034495,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Kingston upon Hull,Yorkshire and The Humber,289466,03/03/2014,Interim inspection,2,0,0,0,0,0
SC065541,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Norfolk,East of England,291101,24/03/2014,Interim inspection,3,0,0,0,0,0
SC037941,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Cumbria,North West,284093,08/01/2014,Full inspection,3,0,3,3,2,3
SC037941,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Cumbria,North West,290352,14/03/2014,Interim inspection,2,0,0,0,0,0
SC463926,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Lancashire,North West,286339,30/01/2014,Full inspection,1,0,1,1,1,1
SC067870,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Lancashire,North West,284802,16/01/2014,Full inspection,1,0,1,1,1,1
SC067870,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Lancashire,North West,296279,25/03/2014,Interim inspection,2,0,0,0,0,0
SC362233,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Leicestershire,East Midlands,287889,13/02/2014,Interim inspection,2,0,0,0,0,0
SC050176,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Leicestershire,East Midlands,290519,17/03/2014,Interim inspection,3,0,0,0,0,0
SC053669,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Leicester,East Midlands,284764,15/01/2014,Full inspection,2,0,2,2,2,2
SC387672,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Manchester,North West,289904,10/03/2014,Interim inspection,2,0,0,0,0,0
SC427850,Resigned,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Salford,North West,286620,03/02/2014,Interim inspection,4,0,0,0,0,0
SC366851,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Salford,North West,284498,14/01/2014,Interim inspection,2,0,0,0,0,0
SC447742,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Birmingham,West Midlands,286285,28/01/2014,Interim inspection,3,0,0,0,0,0
SC456535,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Lancashire,North West,290182,13/03/2014,Interim inspection,2,0,0,0,0,0
SC033662,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Birmingham,West Midlands,288632,19/02/2014,Interim inspection,2,0,0,0,0,0
SC063978,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Bradford,Yorkshire and The Humber,285088,21/01/2014,Interim inspection,3,0,0,0,0,0
SC034197,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Lancashire,North West,291460,28/03/2014,Interim inspection,2,0,0,0,0,0
SC451266,Active,Children's Home,Voluntary,Redacted,Redacted,Redacted,Redacted,Redacted,Bolton,North West,284444,13/01/2014,Interim inspection,2,0,0,0,0,0
SC009390,Active,Children's Home,Voluntary,Redacted,Redacted,Redacted,Redacted,Redacted,Bolton,North West,287829,11/02/2014,Interim inspection,2,0,0,0,0,0
SC420388,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Bury,North West,291486,31/03/2014,Interim inspection,2,0,0,0,0,0
SC447768,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,North Somerset,South West,290193,11/03/2014,Interim inspection,2,0,0,0,0,0
SC419808,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Cheshire West and Chester,North West,290596,20/03/2014,Interim inspection,3,0,0,0,0,0
SC457015,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Essex,East of England,284736,16/01/2014,Interim inspection,3,0,0,0,0,0
SC405772,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,284068,08/01/2014,Interim inspection,4,0,0,0,0,0
SC416915,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,284422,08/01/2014,Interim inspection,4,0,0,0,0,0
SC023744,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,289055,26/02/2014,Interim inspection,3,0,0,0,0,0
SC460671,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,287117,05/02/2014,Full inspection,2,0,3,2,2,2
SC372504,Active,Residential special school (>295 days/year),Private,Redacted,Redacted,Redacted,Redacted,Redacted,Derbyshire,East Midlands,287348,07/02/2014,Interim inspection,2,0,0,0,0,0
SC035137,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Durham,North East,289971,10/03/2014,Interim inspection,2,0,0,0,0,0
SC007608,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Durham,North East,287920,12/02/2014,Interim inspection,2,0,0,0,0,0
SC035181,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Durham,North East,291116,11/03/2014,Interim inspection,2,0,0,0,0,0
SC399586,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Doncaster,Yorkshire and The Humber,289653,28/02/2014,Interim inspection,2,0,0,0,0,0
SC026910,Active,Residential special school (>295 days/year),Private,Redacted,Redacted,Redacted,Redacted,Redacted,Dorset,South West,290035,11/03/2014,Interim inspection,3,0,0,0,0,0
SC067254,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,East Riding of Yorkshire,Yorkshire and The Humber,289147,27/02/2014,Interim inspection,2,0,0,0,0,0
SC413678,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kingston upon Hull,Yorkshire and The Humber,290579,04/03/2014,Interim inspection,5,0,0,0,0,0
SC034313,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Kingston upon Hull,Yorkshire and The Humber,284732,16/01/2014,Interim inspection,2,0,0,0,0,0
SC034706,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Kingston upon Hull,Yorkshire and The Humber,284591,16/01/2014,Interim inspection,2,0,0,0,0,0
SC436765,Resigned,Children's Home,Voluntary,Redacted,Redacted,Redacted,Redacted,Redacted,Norfolk,East of England,283619,06/01/2014,Interim inspection,3,0,0,0,0,0
SC416318,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Lancashire,North West,289371,25/02/2014,Interim inspection,2,0,0,0,0,0
SC053145,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Lancashire,North West,289805,06/03/2014,Interim inspection,2,0,0,0,0,0
SC061928,Active,Residential special school (>295 days/year),Private,Redacted,Redacted,Redacted,Redacted,Redacted,Manchester,North West,291683,27/03/2014,Interim inspection,2,0,0,0,0,0
SC410186,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Solihull,West Midlands,291086,27/03/2014,Full inspection,3,0,2,3,3,3
SC410186,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Solihull,West Midlands,287590,06/02/2014,Full inspection,4,0,4,4,4,4
SC356864,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Bury,North West,288323,13/02/2014,Interim inspection,3,0,0,0,0,0
SC039689,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Lancashire,North West,288728,14/02/2014,Interim inspection,2,0,0,0,0,0
SC046480,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Bournemouth,South West,288365,18/02/2014,Interim inspection,3,0,0,0,0,0
SC031504,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Bristol,South West,289929,03/03/2014,Interim inspection,3,0,0,0,0,0
SC025733,Active,Children's Home,Voluntary,Redacted,Redacted,Redacted,Redacted,Redacted,Cambridgeshire,East of England,288093,17/02/2014,Interim inspection,2,0,0,0,0,0
SC357981,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,290420,18/03/2014,Interim inspection,2,0,0,0,0,0
SC064629,Resigned,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,290651,20/03/2014,Interim inspection,2,0,0,0,0,0
SC368763,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,288633,18/02/2014,Interim inspection,3,0,0,0,0,0
SC023736,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,287908,13/02/2014,Interim inspection,2,0,0,0,0,0
SC023740,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,289143,27/02/2014,Interim inspection,2,0,0,0,0,0
SC066185,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,290304,14/03/2014,Interim inspection,3,0,0,0,0,0
SC023739,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,286478,30/01/2014,Interim inspection,2,0,0,0,0,0
SC463188,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Cheshire East,North West,289003,17/02/2014,Full inspection,2,0,2,2,2,2
SC394224,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Cheshire East,North West,290354,13/03/2014,Interim inspection,3,0,0,0,0,0
SC363398,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Blackpool,North West,290207,12/03/2014,Interim inspection,4,0,0,0,0,0
SC065313,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Blackpool,North West,290897,25/03/2014,Interim inspection,3,0,0,0,0,0
SC065313,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Blackpool,North West,284220,08/01/2014,Full inspection,3,0,3,3,2,3
SC415710,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Blackpool,North West,289521,04/03/2014,Interim inspection,3,0,0,0,0,0
SC061803,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Lancashire,North West,289651,05/03/2014,Interim inspection,3,0,0,0,0,0
SC384924,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kirklees,Yorkshire and The Humber,289477,25/02/2014,Interim inspection,2,0,0,0,0,0
SC038117,Active,Children's Home,Voluntary,Redacted,Redacted,Redacted,Redacted,Redacted,Redbridge,London,294709,26/03/2014,Interim inspection,2,0,0,0,0,0
SC038117,Active,Children's Home,Voluntary,Redacted,Redacted,Redacted,Redacted,Redacted,Redbridge,London,286126,20/01/2014,Full inspection,2,0,2,2,2,3
SC467847,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Redbridge,London,283826,07/01/2014,Interim inspection,3,0,0,0,0,0
SC418612,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Liverpool,North West,286239,28/01/2014,Full inspection,3,0,2,2,2,3
SC374939,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Liverpool,North West,291752,27/03/2014,Interim inspection,2,0,0,0,0,0
SC040785,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Sefton,North West,289131,26/02/2014,Interim inspection,3,0,0,0,0,0
SC457428,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Sefton,North West,286752,03/02/2014,Full inspection,2,0,2,2,2,2
SC042978,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Lincolnshire,East Midlands,290932,24/03/2014,Interim inspection,2,0,0,0,0,0
SC042978,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Lincolnshire,East Midlands,286057,23/01/2014,Full inspection,1,0,1,1,1,1
SC456416,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Rochdale,North West,286707,28/01/2014,Interim inspection,2,0,0,0,0,0
SC434859,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Manchester,North West,287722,07/02/2014,Interim inspection,4,0,0,0,0,0
SC414738,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Milton Keynes,South East,288443,20/02/2014,Interim inspection,2,0,0,0,0,0
SC052599,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Milton Keynes,South East,288619,19/02/2014,Interim inspection,2,0,0,0,0,0
SC028435,Active,Residential special school (>295 days/year),Private,Redacted,Redacted,Redacted,Redacted,Redacted,Wiltshire,South West,289832,06/03/2014,Interim inspection,2,0,0,0,0,0
SC416267,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Rochdale,North West,287583,30/01/2014,Full inspection,2,0,2,2,2,2
SC008132,Active,Children's Home,Voluntary,Redacted,Redacted,Redacted,Redacted,Redacted,North Somerset,South West,285066,21/01/2014,Interim inspection,2,0,2,2,2,2
SC456417,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Cheshire West and Chester,North West,285468,24/01/2014,Interim inspection,2,0,0,0,0,0
SC420032,Resigned,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,290127,12/03/2014,Interim inspection,4,0,0,0,0,0
SC065517,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,289409,28/02/2014,Interim inspection,5,0,0,0,0,0
SC359203,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Coventry,West Midlands,291343,28/03/2014,Interim inspection,2,0,0,0,0,0
SC033289,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Coventry,West Midlands,290154,12/03/2014,Interim inspection,4,0,0,0,0,0
SC371245,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Warwickshire,West Midlands,290179,11/03/2014,Interim inspection,2,0,0,0,0,0
SC068410,Active,Residential special school (>295 days/year),Private,Redacted,Redacted,Redacted,Redacted,Redacted,Warwickshire,West Midlands,291200,26/03/2014,Interim inspection,2,0,0,0,0,0
SC415138,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Staffordshire,West Midlands,289443,28/02/2014,Interim inspection,2,0,0,0,0,0
SC415138,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Staffordshire,West Midlands,284196,08/01/2014,Full inspection,1,0,1,1,1,1
SC034741,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Durham,North East,291678,31/03/2014,Interim inspection,2,0,0,0,0,0
SC032167,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Doncaster,Yorkshire and The Humber,284184,10/01/2014,Interim inspection,3,0,0,0,0,0
SC061045,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Dorset,South West,289916,10/03/2014,Interim inspection,2,0,0,0,0,0
SC030650,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Gloucestershire,South West,284262,08/01/2014,Interim inspection,2,0,0,0,0,0
SC061878,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Gloucestershire,South West,289082,20/02/2014,Interim inspection,3,0,0,0,0,0
SC385633,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kingston upon Hull,Yorkshire and The Humber,289012,25/02/2014,Interim inspection,2,0,0,0,0,0
SC456474,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kingston upon Hull,Yorkshire and The Humber,285321,20/01/2014,Full inspection,2,0,3,2,2,2
SC436826,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Cumbria,North West,287246,06/02/2014,Interim inspection,4,0,0,0,0,0
SC032069,Active,Children's Home,Voluntary,Redacted,Redacted,Redacted,Redacted,Redacted,Leicestershire,East Midlands,285954,27/01/2014,Interim inspection,3,0,0,0,0,0
SC039025,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Leicester,East Midlands,289761,04/03/2014,Interim inspection,2,0,0,0,0,0
SC033389,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Leeds,Yorkshire and The Humber,289086,26/02/2014,Interim inspection,2,0,0,0,0,0
SC008342,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Salford,North West,287299,06/02/2014,Full inspection,3,0,2,2,2,3
SC459255,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Nottingham,East Midlands,289596,27/02/2014,Interim inspection,2,0,0,0,0,0
SC034643,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Birmingham,West Midlands,291141,27/03/2014,Interim inspection,2,0,0,0,0,0
SC034643,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Birmingham,West Midlands,284263,08/01/2014,Full inspection,2,0,2,2,2,2
SC009653,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Lancashire,North West,291760,28/03/2014,Interim inspection,2,0,0,0,0,0
SC384670,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Bournemouth,South West,285093,21/01/2014,Interim inspection,3,0,0,0,0,0
SC063116,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,291340,27/03/2014,Interim inspection,2,0,0,0,0,0
SC434174,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Somerset,South West,284800,16/01/2014,Interim inspection,4,0,0,0,0,0
SC059853,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Bolton,North West,290282,14/03/2014,Interim inspection,3,0,0,0,0,0
SC066048,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,East Sussex,South East,285459,22/01/2014,Full inspection,2,0,3,2,2,2
SC373958,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,East Sussex,South East,285415,22/01/2014,Interim inspection,2,0,0,0,0,0
SC069474,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,East Sussex,South East,286308,30/01/2014,Interim inspection,2,0,0,0,0,0
SC365001,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,East Sussex,South East,283857,08/01/2014,Interim inspection,3,0,0,0,0,0
SC067151,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Bristol,South West,285803,22/01/2014,Interim inspection,3,0,0,0,0,0
SC034301,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Bristol,South West,287490,05/02/2014,Interim inspection,3,0,0,0,0,0
SC394547,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Bristol,South West,290934,26/03/2014,Interim inspection,5,0,0,0,0,0
SC034938,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Cambridgeshire,East of England,285603,27/01/2014,Interim inspection,2,0,0,0,0,0
SC018039,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Essex,East of England,283784,07/01/2014,Interim inspection,4,0,0,0,0,0
SC397293,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Derby,East Midlands,290701,19/03/2014,Interim inspection,3,0,0,0,0,0
SC042950,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Lincolnshire,East Midlands,290424,17/03/2014,Interim inspection,2,0,0,0,0,0
