Provider URN,Provider status,Provider type,Sector,Provider name,Provider address 1,Provider address 2,Provider town,Provider postcode,Local Authority,government_office_region_name,Event number,Event date,Event type group,Overall effectiveness,Outcomes in education and related learning activities,Outcomes for children and young people,Quality of care,Safeguarding children and young people,Leadership and management
SC409730,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Birmingham,West Midlands,290444,17/03/2014,Interim inspection,3,0,0,0,0,0
SC392492,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Birmingham,West Midlands,291072,19/03/2014,Interim inspection,3,0,0,0,0,0
SC443081,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Somerset,South West,286905,04/02/2014,Interim inspection,3,0,0,0,0,0
SC402508,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Blackburn with Darwen,North West,289650,19/02/2014,Interim inspection,4,0,0,0,0,0
SC065046,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Bournemouth,South West,291206,27/03/2014,Interim inspection,2,0,0,0,0,0
SC434573,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,East Sussex,South East,287235,04/02/2014,Interim inspection,3,0,0,0,0,0
SC068179,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,East Sussex,South East,286125,29/01/2014,Interim inspection,2,0,0,0,0,0
SC061232,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Bristol,South West,285947,23/01/2014,Interim inspection,3,0,0,0,0,0
SC390156,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,289949,06/03/2014,Interim inspection,4,0,0,0,0,0
SC390167,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,286634,29/01/2014,Interim inspection,2,0,0,0,0,0
SC414516,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Derbyshire,East Midlands,288387,12/02/2014,Interim inspection,2,0,0,0,0,0
SC358046,Active,Residential special school (>295 days/year),Private,Redacted,Redacted,Redacted,Redacted,Redacted,Derbyshire,East Midlands,289214,25/02/2014,Interim inspection,2,0,0,0,0,0
SC363384,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Nottinghamshire,East Midlands,292255,14/03/2014,Interim inspection,3,0,0,0,0,0
SC427338,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Doncaster,Yorkshire and The Humber,287243,04/02/2014,Interim inspection,2,0,0,0,0,0
SC434999,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Blackpool,North West,284510,13/01/2014,Interim inspection,3,0,0,0,0,0
SC469140,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Lancashire,North West,285869,16/01/2014,Full inspection,3,0,3,3,3,3
SC016600,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Gloucestershire,South West,286256,31/01/2014,Interim inspection,3,0,2,2,2,3
SC067810,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Barking and Dagenham,London,289757,06/03/2014,Interim inspection,5,0,3,3,3,3
SC025940,Active,Children's Home,Voluntary,Redacted,Redacted,Redacted,Redacted,Redacted,Redbridge,London,284845,14/01/2014,Interim inspection,4,0,0,0,0,0
SC040631,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Surrey,South East,290081,11/03/2014,Interim inspection,2,0,0,0,0,0
SC025420,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Liverpool,North West,286659,03/02/2014,Interim inspection,2,0,0,0,0,0
SC062937,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Sefton,North West,290443,18/03/2014,Interim inspection,2,0,0,0,0,0
SC033572,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Manchester,North West,291455,24/03/2014,Interim inspection,3,0,0,0,0,0
SC357159,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Rochdale,North West,290183,27/02/2014,Interim inspection,2,0,0,0,0,0
SC034922,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Rochdale,North West,288371,12/02/2014,Interim inspection,2,0,0,0,0,0
SC404994,Active,Children's Home,Voluntary,Redacted,Redacted,Redacted,Redacted,Redacted,Sandwell,West Midlands,289863,07/03/2014,Interim inspection,3,0,0,0,0,0
SC061837,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Warwickshire,West Midlands,286323,28/01/2014,Interim inspection,2,0,0,0,0,0
SC381722,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Bury,North West,291421,28/03/2014,Interim inspection,2,0,0,0,0,0
SC457012,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Essex,East of England,289674,28/02/2014,Interim inspection,3,0,0,0,0,0
SC023644,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,289385,28/02/2014,Interim inspection,5,0,0,0,0,0
SC473404,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,291722,27/03/2014,Full inspection,4,0,3,4,4,4
SC451819,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Wiltshire,South West,284156,02/01/2014,Interim inspection,2,0,0,0,0,0
SC407430,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Wiltshire,South West,285101,20/01/2014,Interim inspection,3,0,0,0,0,0
SC034152,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,North Yorkshire,Yorkshire and The Humber,283963,06/01/2014,Full inspection,2,0,2,2,2,2
SC034152,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,North Yorkshire,Yorkshire and The Humber,291374,31/03/2014,Interim inspection,2,0,0,0,0,0
SC443658,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Bury,North West,287768,10/02/2014,Interim inspection,2,0,0,0,0,0
SC384018,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Essex,East of England,289895,05/03/2014,Interim inspection,2,0,0,0,0,0
