Provider URN,Registration status,Provision type,Provider name,Provider address 1,Provider address 2,Provider town,Provider postcode,Local authority,Event number,Event date,Event Type Group,Overall effectiveness,"Experiences and progress of, and outcomes for, children and young people",Quality of service,Safeguarding children and young people,Leadership and management,Outcomes for service users,Helping children to be healthy,Protecting children from harm or neglect and helping them stay safe,Helping children to make a positive contribution,Achieving economic wellbeing,Organisation,Quality of Assessment,"Quality of care, support and guidance",Safeguarding,Outcomes for residential pupils,Quality of residential provision and care,Residential pupils' safety,Leadership and management of residential provision,Outcomes for boarders,Quality of boarding provision and care,Boarders' safety,Leadership and management of boarding,Outcomes for young people
SC067733,Active,Adoption Support Agency,The Consultancy,West Grange,Clyst Heath,Exeter,EX2 7EY,Devon,280407,22/11/2013,Full inspection,Outstanding,,Outstanding,Outstanding,Outstanding,Outstanding,,,,,,,,,,,,,,,,,
SC066957,Active,Adoption Support Agency,Adoption UK,"Adoption UK, Linden House","55 The Green, South Bar Street",BANBURY,OX16 9AB,Oxfordshire,279524,06/11/2013,Full inspection,Outstanding,,Outstanding,Outstanding,Outstanding,Outstanding,,,,,,,,,,,,,,,,,
SC067198,Active,Adoption Support Agency,The Children's Society,Block A Unit 201,"Tower Bridge Business Complex, 100 Clements Road",LONDON,SE16 4DG,Southwark,287055,05/02/2014,Full inspection,Good,,Good,Good,Adequate,Good,,,,,,,,,,,,,,,,,
SC446466,Active,Adoption Support Agency,Susan Chantrell - Child & Adolescent Psychotherapist,West Hill House; Highgate Consulting Rooms,6 Swains Lane,Highgate,N6 6QS,Camden,282941,18/12/2013,Full inspection,Adequate,,Good,Adequate,Adequate,Adequate,,,,,,,,,,,,,,,,,
SC067032,Active,Adoption Support Agency,After Adoption Yorkshire,Hollyshaw House,2 Hollyshaw Lane,LEEDS,LS15 7BD,Leeds,281682,28/11/2013,Full inspection,Good,,Good,Good,Good,Good,,,,,,,,,,,,,,,,,
SC397224,Active,Adoption Support Agency,Father Hudson's Society (Adoption Support Agency),Father Hudson's Society,"Coventry Road, Coleshill",BIRMINGHAM,B46 3ED,Warwickshire,286089,28/01/2014,Full inspection,Outstanding,,Outstanding,Good,Outstanding,Outstanding,,,,,,,,,,,,,,,,,
SC459411,Active,Boarding School,The Harefield Academy,Northwood Way,,Harefield,UB9 6ET,Hillingdon,286282,28/01/2014,Full inspection,Adequate,,,,,,,,,,,,,,,,,,Good,Adequate,Inadequate,Adequate,
SC472570,Resigned,Boarding School,Bath Academy,27 Queen Square,,Bath,BA1 2HX,Bath and North East Somerset,276639,07/11/2013,Full inspection,Good,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,
SC367598,Active,Boarding School,"Bellerbys College, Oxford","Bellerbys College, Trajan House",Mill Street,OXFORD,OX2 0DJ,Oxfordshire,290356,11/03/2014,Full inspection,Inadequate,,,,,,,,,,,,,,,,,,Good,Adequate,Inadequate,Inadequate,
SC459408,Active,Boarding School,The Wellington Academy,Tidworth Road,,Tidworth,SP11 9RR,Wiltshire,284820,14/01/2014,Full inspection,Inadequate,,,,,,,,,,,,,,,,,,Good,Good,Inadequate,Inadequate,
SC474566,Active,Boarding School,Kiteridge House Pupil Referral Unit,Kiteridge Education Unit,Verney Avenue,High Wycombe,HP12 3NE,Buckinghamshire,289818,05/03/2014,Full inspection,Good,,,,,,,,,,,,,,,,,,Outstanding,Outstanding,Good,Good,
SC061220,Active,Boarding School,St George's School,St. Georges School,Sun Lane,Harpenden,AL5 4TD,Hertfordshire,274065,15/10/2013,Full inspection,Adequate,,,,,,,,,,,,,,,,,,Good,Good,Adequate,Adequate,
SC063056,Active,Boarding School,Bellerbys College,"Bellerbys College, Bounty House",Stowage,LONDON,SE8 3DE,Greenwich,286156,29/01/2014,Emergency visit,NMS Not Met,,,,,,,,,,,,,,,,,,,,,,
SC014681,Active,Boarding School,Rikkyo School in England,The Rikkyo School in England,"Guildford Road, Rudgwick",Horsham,RH12 3BE,West Sussex,285843,21/01/2014,Full inspection,Good,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,
SC018009,Active,Boarding School,Colchester Royal Grammar School,Colchester Royal Grammar School,6 Lexden Road,COLCHESTER,CO3 3ND,Essex,291057,24/03/2014,Full inspection,Outstanding,,,,,,,,,,,,,,,,,,Outstanding,Outstanding,Outstanding,Outstanding,
SC023092,Active,Boarding School,Teikyo School (uk),"Teikyo Foundation (UK) Ltd, Fulmer Grange","Framewood Road, Wexham",SLOUGH,SL2 4QS,Buckinghamshire,287933,12/02/2014,Monitoring Visit,Good Progress,,,,,,,,,,,,,,,,,,,,,,
SC363274,Active,Boarding School,Alexanders International,Bawdsey Manor,Bawdsey,WOODBRIDGE,IP12 3AZ,Suffolk,279374,06/11/2013,Full inspection,Good,,,,,,,,,,,,,,,,,,Good,Outstanding,Good,Good,
SC367610,Active,Boarding School,"Bishopstrow Road, Bishopstrow","Warminster, Wiltshire",,Warminster,BA12 9HU,Wiltshire,273475,10/10/2013,Full inspection,Inadequate,,,,,,,,,,,,,,,,,,Adequate,Adequate,Inadequate,Inadequate,
SC054201,Active,Boarding School,Reading School,"Reading School, Main House",Erleigh Road,READING,RG1 5LW,Reading,289743,03/03/2014,Full inspection,Outstanding,,,,,,,,,,,,,,,,,,Outstanding,Outstanding,Outstanding,Outstanding,
SC039275,Active,Boarding School,Jamea Al Kauthar,"Jamea Al Kauthar, Islamic College",Ashton Road,LANCASTER,LA1 5AJ,Lancashire,287846,13/02/2014,Monitoring Visit,Good Progress,,,,,,,,,,,,,,,,,,,,,,
SC008476,Active,Boarding School,Darul Uloom,"Darul Uloom, Holcombe Hall","149 Holcombe Old Road, Holcombe",BURY,BL8 4NG,Bury,275068,29/10/2013,Full inspection,Good,,,,,,,,,,,,,,,,,,Good,Adequate,Good,Good,
SC038716,Active,Boarding School,Chase Grammar School International Study Centre,Chase Grammar School,Convent Close,CANNOCK,WS11 0UR,Staffordshire,291813,25/03/2014,Full inspection,Adequate,,,,,,,,,,,,,,,,,,Adequate,Adequate,Adequate,Adequate,
SC017403,Active,Boarding School,The Swedish School Society,The Swedish School Society,82 Lonsdale Road,London,SW13 9JS,Richmond upon Thames,292915,26/03/2014,Full inspection,Good,,,,,,,,,,,,,,,,,,Good,Good,Good,Satisfactory,
SC039275,Active,Boarding School,Jamea Al Kauthar,"Jamea Al Kauthar, Islamic College",Ashton Road,LANCASTER,LA1 5AJ,Lancashire,279849,13/11/2013,Monitoring Visit,NMS Not Met,,,,,,,,,,,,,,,,,,,,,,
SC367610,Active,Boarding School,"Bishopstrow Road, Bishopstrow","Warminster, Wiltshire",,Warminster,BA12 9HU,Wiltshire,273618,10/10/2013,Monitoring Visit,NMS Not Met,,,,,,,,,,,,,,,,,,,,,,
SC008762,Resigned,Boarding School,Al Karam Independent School,Jamia Al Karam,Eaton Hall,RETFORD,DN22 0PR,Nottinghamshire,290531,18/03/2014,Monitoring Visit,NMS Not Met,,,,,,,,,,,,,,,,,,,,,,
SC008762,Resigned,Boarding School,Al Karam Independent School,Jamia Al Karam,Eaton Hall,RETFORD,DN22 0PR,Nottinghamshire,274281,23/10/2013,Emergency visit,NMS Not Met,,,,,,,,,,,,,,,,,,,,,,
SC020589,Active,Boarding School,Adams Grammar School,Adams Grammar School,High Street,NEWPORT,TF10 7BD,Telford and Wrekin,282626,28/11/2013,Full inspection,Good,,,,,,,,,,,,,,,,,,Outstanding,Good,Good,Good,
SC063971,Active,Boarding School,Jamia Al Hudaa,"Madni Trust, Park House School",Bawtry Road,SHEFFIELD,S9 1WD,Sheffield,291147,24/03/2014,Full inspection,Adequate,,,,,,,,,,,,,,,,,,Good,Adequate,Good,Adequate,
SC009423,Active,Boarding School,Al Jamiah Al Islamiyyah,Willows Lane,,Bolton,BL3 4HF,Bolton,282681,04/12/2013,Monitoring Visit,NMS Not Met,,,,,,,,,,,,,,,,,,,,,,
SC020780,Active,Boarding School,Thomas Adams School,"Thomas Adams School, Lowe Hill",Wem,SHREWSBURY,SY4 5UB,Shropshire,284844,17/01/2014,Full inspection,Good,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,
SC041911,Active,Further Education College with Residential Accommodation,Shuttleworth College,Shuttleworth College Farms,"Farm Office, Old Warden Park",Biggleswade,SG18 9EA,Central Bedfordshire,274941,17/10/2013,Full inspection,Good,,Good,,Good,,,,,,,,,Outstanding,,,,,,,,,Outstanding
SC041700,Active,Further Education College with Residential Accommodation,Brooksby Melton College,Brooksby College,Brooksby,MELTON MOWBRAY,LE14 2LJ,Leicestershire,289182,25/02/2014,Full inspection,Good,,Good,,Adequate,,,,,,,,,Good,,,,,,,,,Good
SC477625,Active,Further Education College with Residential Accommodation,Easton & Otley College,Easton,,Norwich,NR9 5DX,Norfolk,291433,25/03/2014,Full inspection,Good,,Good,,Good,,,,,,,,,Outstanding,,,,,,,,,Good
SC059709,Active,Further Education College with Residential Accommodation,Myerscough College,"Myerscough College, Myerscough Hall","St. Michaels Road, Bilsborrow",PRESTON,PR3 0RY,Lancashire,290319,12/03/2014,Full inspection,Outstanding,,Outstanding,,Outstanding,,,,,,,,,Good,,,,,,,,,Outstanding
SC042852,Active,Further Education College with Residential Accommodation,Wiltshire College - Lackham,"Wiltshire College, Lackham Park",Lacock,CHIPPENHAM,SN15 2NY,Wiltshire,281883,18/11/2013,Full inspection,Adequate,,Good,,Adequate,,,,,,,,,Adequate,,,,,,,,,Outstanding
SC041848,Active,Further Education College with Residential Accommodation,Bournemouth & Poole College,Bournemouth & Poole College of Further Education,North Road,POOLE,BH14 0LS,Poole,287819,07/02/2014,Full inspection,Adequate,,Good,,Adequate,,,,,,,,,Adequate,,,,,,,,,Good
SC061273,Active,Further Education College with Residential Accommodation,Eastleigh College (College House),Shepherds Lane,Compton,Winchester,SO21 2AB,Hampshire,273249,01/10/2013,Full inspection,Outstanding,,Outstanding,,Outstanding,,,,,,,,,Outstanding,,,,,,,,,Outstanding
SC060608,Active,Further Education College with Residential Accommodation,Walford & North Shropshire College,Walford & North Shropshire College,"Walford Hall, Walford, Baschurch",SHREWSBURY,SY4 2HL,Shropshire,287957,13/02/2014,Full inspection,Good,,Good,,Good,,,,,,,,,Good,,,,,,,,,Good
SC045168,Active,Further Education College with Residential Accommodation,Somerset College of Arts and Technology,Somerset College of Arts & Technology,Wellington Road,TAUNTON,TA1 5AX,Somerset,288152,14/02/2014,Full inspection,Adequate,,Outstanding,,Adequate,,,,,,,,,Adequate,,,,,,,,,Outstanding
SC046376,Resigned,Further Education College with Residential Accommodation,Dudley College of Technology,Dudley College of Technology,The Broadway,DUDLEY,DY1 4AS,Dudley,279544,06/11/2013,Full inspection,Outstanding,,Outstanding,,Outstanding,,,,,,,,,Outstanding,,,,,,,,,Outstanding
SC061362,Active,Further Education College with Residential Accommodation,Farleigh Further Education College,105 Bath Road,,SWINDON,SN1 4AX,Swindon,289693,26/02/2014,Full inspection,Good,,Good,,Good,,,,,,,,,Good,,,,,,,,,Good
SC055672,Active,Further Education College with Residential Accommodation,Boston College,Boston College,Skirbeck Road,BOSTON,PE21 6JF,Lincolnshire,290197,04/03/2014,Full inspection,Good,,Good,,Good,,,,,,,,,Good,,,,,,,,,Good
SC448784,Active,Independent Fostering Provider,Fostering for You,18 E/F Hillgate Place,18-20 Balham Hill,London,SW12 9ER,Wandsworth,274475,14/10/2013,Full inspection,Requires Improvement,Requires Improvement,Requires Improvement,Requires Improvement,Requires Improvement,,,,,,,,,,,,,,,,,,
SC450903,Active,Independent Fostering Provider,Families@FamilyCare,Old Mill House,"60 School Lane, Bamber Bridge",PRESTON,PR5 6QE,Lancashire,281915,06/12/2013,Full inspection,Good,Good,Good,Good,Requires Improvement,,,,,,,,,,,,,,,,,,
SC374424,Active,Independent Fostering Provider,SWIIS Foster Care London and Home Counties Office,Rear of 26/28 Packhorse Road,,Gerrards Cross,SL9 7DA,Buckinghamshire,291581,24/03/2014,Full inspection,Good,Good,Good,Good,Requires Improvement,,,,,,,,,,,,,,,,,,
SC413945,Resigned,Independent Fostering Provider,Barnardo's Herefordshire Short Breaks Service,Kindle Centre,Belmont Road,Hereford,HR2 7JE,Herefordshire,280350,18/11/2013,Full inspection,Requires Improvement,Good,Requires Improvement,Requires Improvement,Requires Improvement,,,,,,,,,,,,,,,,,,
SC442650,Resigned,Independent Fostering Provider,Connect Family Placements Limited,Unit 1 Bourne Enterprise Centre,Wrotham Road,Borough Green,TN15 8DG,Kent,274449,18/10/2013,Full inspection,Requires Improvement,Good,Good,Requires Improvement,Requires Improvement,,,,,,,,,,,,,,,,,,
SC446985,Active,Independent Fostering Provider,Halliwell Fostering Service,"UF 43, Technology House",2 Lissadel Street,SALFORD,M6 6AP,Salford,280486,15/11/2013,Full inspection,Requires Improvement,Requires Improvement,Requires Improvement,Good,Requires Improvement,,,,,,,,,,,,,,,,,,
SC448220,Active,Independent Fostering Provider,UK Fostering,5 Twisleton Court,Priory Hill,DARTFORD,DA1 2EN,Kent,280525,25/11/2013,Full inspection,Outstanding,Outstanding,Outstanding,Outstanding,Outstanding,,,,,,,,,,,,,,,,,,
SC449591,Resigned,Independent Fostering Provider,Family Foster Care,33a Highgate,,BEVERLEY,HU17 0DN,East Riding of Yorkshire,281679,04/12/2013,Full inspection,Inadequate,Inadequate,Inadequate,Inadequate,Inadequate,,,,,,,,,,,,,,,,,,
SC398338,Active,Independent Fostering Provider,Oasis Fostering Services,"Suite 28, Hardmans Business Centre",New Hall Hey Road,ROSSENDALE,BB4 6HH,Lancashire,274939,25/10/2013,Full inspection,Good,Good,Requires Improvement,Good,Good,,,,,,,,,,,,,,,,,,
SC398387,Active,Independent Fostering Provider,Family Options,Lamledge Lane,,Shifnal,TF11 8SD,Shropshire,279702,08/11/2013,Full inspection,Good,Good,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC406245,Active,Independent Fostering Provider,Ansacare Fostering Agency,"Weatherill House, New South Quarter",23 Whitestone Way,CROYDON,CR0 4WF,Croydon,290040,26/02/2014,Full inspection,Requires Improvement,Good,Requires Improvement,Good,Requires Improvement,,,,,,,,,,,,,,,,,,
SC409413,Active,Independent Fostering Provider,SWAP Foster Care,43-47 Kings Street,,Bedworth,CV12 8NB,Warwickshire,279706,07/11/2013,Full inspection,Good,Good,Good,Good,Requires Improvement,,,,,,,,,,,,,,,,,,
SC443768,Active,Independent Fostering Provider,Three Circles Fostering Limited,"Dean Row Court, Sommerfields Village Centre",Dean Row Road,Wilmslow,SK9 2TB,Cheshire East,288104,11/02/2014,Full inspection,Good,Good,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC450627,Active,Independent Fostering Provider,Regional Foster Placements,County House,St.Mary's Street,Worcester,WR1 1HB,Worcestershire,274329,18/10/2013,Full inspection,Good,Good,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC453181,Active,Independent Fostering Provider,Family First Fostering Agency,"Office 11, City Gate House",246/250 Romford Road,London,E7 9HZ,Newham,282387,26/11/2013,Full inspection,Good,Outstanding,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC456174,Active,Independent Fostering Provider,Chrysalis Consortium Ltd,48 Wolstenholm Road,Nether Edge,Sheffield,S7 1LL,Sheffield,281003,14/11/2013,Full inspection,Good,Good,Outstanding,Good,Good,,,,,,,,,,,,,,,,,,
SC456650,Active,Independent Fostering Provider,The Fostering Organisation T/A The Fostering Team,"First Floor, Woodbanks Works","Woodbank Industrial Estate, Turncroft Lane",Offerton,SK1 4AR,Stockport,281555,02/12/2013,Full inspection,Good,Good,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC458341,Active,Independent Fostering Provider,St.Christopher's Fellowship,102 High Street,,WEST BROMWICH,B70 6JW,Sandwell,281854,02/12/2013,Full inspection,Requires Improvement,Good,Good,Requires Improvement,Requires Improvement,,,,,,,,,,,,,,,,,,
SC062080,Active,Independent Fostering Provider,Following Whispers Family Service Consultancy Ltd,Following Whispers Family Service Consultancy Ltd,6 Addington Place,RAMSGATE,CT11 9JG,Kent,274890,21/10/2013,Full inspection,Inadequate,Inadequate,Inadequate,Inadequate,Inadequate,,,,,,,,,,,,,,,,,,
SC062695,Active,Independent Fostering Provider,Diverse Care,399-401 High Street,,LONDON,E15 4QZ,Newham,280913,18/11/2013,Full inspection,Good,Good,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC064220,Active,Independent Fostering Provider,Blue Sky Fostering,1 Eastwood Court,Broadwater Road,ROMSEY,SO51 8JJ,Hampshire,275058,14/10/2013,Full inspection,Outstanding,Outstanding,Outstanding,Outstanding,Outstanding,,,,,,,,,,,,,,,,,,
SC065119,Active,Independent Fostering Provider,Orchard Care (North East),"Unit 12, City West Business Park","St. Johns Road, Meadowfield Industrial Estate",DURHAM,DH7 8ER,Durham,288034,14/02/2014,Full inspection,Inadequate,Good,Good,Good,Inadequate,,,,,,,,,,,,,,,,,,
SC376060,Active,Independent Fostering Provider,Pilgrims Corner Fostering Ltd,"Suite 5, Enterprise House",The Links,Herne Bay,CT6 7GQ,Kent,280363,11/11/2013,Full inspection,Inadequate,Inadequate,Inadequate,Requires Improvement,Inadequate,,,,,,,,,,,,,,,,,,
SC418371,Active,Independent Fostering Provider,Children Of All Nations (COAN),Weatherill House,New South Quarter,23 Whitestone Way,CR0 4WF,Croydon,288401,13/02/2014,Full inspection,Good,Good,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC068494,Active,Independent Fostering Provider,Quality Fostering,Phoenix House,73-75 Priory Road,KENILWORTH,CV8 1LQ,Warwickshire,280437,15/11/2013,Full inspection,Requires Improvement,Good,Requires Improvement,Requires Improvement,Requires Improvement,,,,,,,,,,,,,,,,,,
SC069170,Active,Independent Fostering Provider,Positive Parenting & Children Support Care Scheme,"Unit 64, Eurolink Business Centre","49 Effra Road, Brixton",London,SW2 1BZ,Lambeth,274340,18/10/2013,Full inspection,Requires Improvement,Requires Improvement,Good,Requires Improvement,Requires Improvement,,,,,,,,,,,,,,,,,,
SC062839,Active,Independent Fostering Provider,Sussex Fostering & Children's Services,"Cophall Farm, Bay Tree Lane",Sayerland,POLEGATE,BN26 6QN,East Sussex,274587,08/10/2013,Full inspection,Good,Outstanding,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC448211,Active,Independent Fostering Provider,BETA Care Services,"Evans Business Centre, Durham Way South",Aycliffe Business Park,NEWTON AYCLIFFE,DL5 6XP,Durham,283011,20/12/2013,Full inspection,Good,Good,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC457688,Active,Independent Fostering Provider,Little Acorns Fostering,"Rook Tree Barn, Withersfield Road",Great Wratting,HAVERHILL,CB9 7HD,Suffolk,280088,11/11/2013,Full inspection,Good,Good,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC457831,Active,Independent Fostering Provider,Shine Fostering,Suite 2,109 George Lane,Southwoodford,E18 1AN,Redbridge,283860,02/12/2013,Full inspection,Good,Good,Good,Good,Requires Improvement,,,,,,,,,,,,,,,,,,
SC458129,Active,Independent Fostering Provider,Ascent Fostering Agency,"Suite 5, First Floor, Hillcrest House",51 Woodcote Road,Wallington,SM6 0LT,Sutton,281242,12/11/2013,Full inspection,Good,Good,Good,Good,Requires Improvement,,,,,,,,,,,,,,,,,,
SC405567,Active,Independent Fostering Provider,Compass Fostering (Yorkshire),Hope Park Business Park,Hope Park,Bradford,BD5 8HH,Bradford,290294,14/03/2014,Full inspection,Good,Good,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC062487,Active,Independent Fostering Provider,Five Rivers Fostering Service - West Country,"Five Rivers Child Care Ltd, Aldens Business Court",7a Chudleigh Road,EXETER,EX2 8TS,Devon,288149,10/02/2014,Full inspection,Good,Good,Good,Good,Outstanding,,,,,,,,,,,,,,,,,,
SC394822,Active,Independent Fostering Provider,Fostering Together,Palace Chambers,42 London Road,STROUD,GL5 2AJ,Gloucestershire,282737,22/11/2013,Full inspection,Outstanding,Outstanding,Outstanding,Good,Outstanding,,,,,,,,,,,,,,,,,,
SC064113,Active,Independent Fostering Provider,Time out Fostering,The Ropetackle Centre,Little High Street,SHOREHAM-BY-SEA,BN43 5EG,West Sussex,279545,04/11/2013,Full inspection,Outstanding,Outstanding,Outstanding,Good,Outstanding,,,,,,,,,,,,,,,,,,
SC060748,Active,Independent Fostering Provider,Supported Fostering Services,Supported Fostering Services,115c Brunswick Park Road,LONDON,N11 1EA,Barnet,282859,22/11/2013,Full inspection,Outstanding,Outstanding,Outstanding,Good,Outstanding,,,,,,,,,,,,,,,,,,
SC034004,Active,Independent Fostering Provider,The Fostering Foundation,The Fostering Foundation,"74a Regent Street, Kingswood",BRISTOL,BS15 8JA,South Gloucestershire,280665,26/11/2013,Full inspection,Good,Good,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC452379,Active,Independent Fostering Provider,Fostering Solutions,"Bridge House, 1 Bridge Court",Fishergate,Norwich,NR3 1UE,Norfolk,274954,14/10/2013,Full inspection,Good,Outstanding,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC448336,Active,Independent Fostering Provider,TACT Fostering (Yorkshire),Unit 4 Killingbeck Court,Killingbeck Drive,Leeds,LS14 6FD,Leeds,280010,15/11/2013,Full inspection,Good,Good,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC043609,Active,Independent Fostering Provider,Hythe House Support,59 Staplehurst Road,,SITTINGBOURNE,ME10 2NY,Kent,282827,09/12/2013,Full inspection,Requires Improvement,Requires Improvement,Requires Improvement,Requires Improvement,Requires Improvement,,,,,,,,,,,,,,,,,,
SC033806,Active,Independent Fostering Provider,Compass Fostering London and Eastern,29-31 Malvern Road,,HORNCHURCH,RM11 1BG,Havering,279541,04/11/2013,Full inspection,Good,Good,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC036488,Active,Independent Fostering Provider,Xcel 2000 Fostercare Services,Xcel 2000,8 London Road,SITTINGBOURNE,ME10 1NA,Kent,281311,22/11/2013,Full inspection,Good,Good,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC442125,Active,Independent Fostering Provider,Parent and Child Fostering Service,Alfa House,Molesey Road,Walton on Thames,KT12 3PD,Surrey,274625,25/10/2013,Full inspection,Inadequate,Inadequate,Inadequate,Inadequate,Inadequate,,,,,,,,,,,,,,,,,,
SC451077,Active,Independent Fostering Provider,Voice Fostering Ltd,481 Streetsbrook Road,,SOLIHULL,B91 1LA,Solihull,287637,06/02/2014,Full inspection,Good,Outstanding,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC040934,Active,Independent Fostering Provider,Fosterplus Limited (Leicestershire Branch),Nettle Hill Centre,Brinklow Road,"Nettle Hill, Ansty",CV7 9JL,Warwickshire,274645,18/10/2013,Full inspection,Good,Good,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC036888,Active,Independent Fostering Provider,Safehouses,Asset House,350 High Street,ORPINGTON,BR6 0NQ,Bromley,281826,02/12/2013,Full inspection,Outstanding,Outstanding,Outstanding,Good,Outstanding,,,,,,,,,,,,,,,,,,
SC031585,Active,Independent Fostering Provider,Compass Fostering (North West),Highfield House,185 Chorley New Road,BOLTON,BL1 4QZ,Bolton,281433,29/11/2013,Full inspection,Good,Good,Good,Requires Improvement,Good,,,,,,,,,,,,,,,,,,
SC036628,Active,Independent Fostering Provider,Child Focus Fostering Agency,2-4 Balmoral Road,Leyton,London,E10 5ND,Waltham Forest,281777,22/11/2013,Full inspection,Good,Good,Good,Good,Good,,,,,,,,,,,,,,,,,,
SC047184,Active,Residential Family Centre,Living Springs,Barratts Coppice Farmhouse,Bridgnorth Road,Stourton,DY7 6QY,Staffordshire,285633,21/01/2014,Full inspection,Good,,,,Adequate,,,,,,,Good,Good,Good,,,,,,,,,
SC393825,Active,Residential Family Centre,Teylu House,Roskear Centre,Roskear Old School,Roskear,TR14 8DJ,Cornwall,281070,26/11/2013,Full inspection,Good,,,,Good,,,,,,,Outstanding,Good,Good,,,,,,,,,
SC051886,Active,Residential Family Centre,Crown House,10 Abbey Road,,MALVERN,WR14 3HG,Worcestershire,290682,13/03/2014,Full inspection,Good,,,,Good,,,,,,,Good,Good,Good,,,,,,,,,
SC050043,Active,Residential Family Centre,Abbeyfield,38 Christchurch Road,,Sheffield,S3 9HN,Sheffield,273005,01/10/2013,Full inspection,Adequate,,,,Adequate,,,,,,,Adequate,Adequate,Adequate,,,,,,,,,
SC416601,Active,Residential Family Centre,Rishana Homes - Bedford,2 Linden Road,,BEDFORD,MK40 2DA,Bedford,275597,24/10/2013,Full inspection,Adequate,,,,Adequate,,,,,,,Adequate,Adequate,Adequate,,,,,,,,,
SC047194,Active,Residential Family Centre,St Michaels Fellowship,46 Herne Hill,,LONDON,SE24 9QP,Lambeth,291558,20/03/2014,Full inspection,Good,,,,Good,,,,,,,Good,Outstanding,Good,,,,,,,,,
SC445624,Active,Residential Family Centre,Serendipity Family Assessment Centre,Serpendipity,24 Victoria Road,EXMOUTH,EX8 1DW,Devon,286968,23/01/2014,Full inspection,Good,,,,Adequate,,,,,,,Adequate,Outstanding,Outstanding,,,,,,,,,
SC446588,Active,Residential Family Centre,Care 2 Share Residential Family Assessment Centre,17 Wallwood Road,,Leytonstone,E11 1DQ,Waltham Forest,282610,12/12/2013,Full inspection,Good,,,,Good,,,,,,,Good,Outstanding,Good,,,,,,,,,
SC367715,Active,Residential Family Centre,Newington Manor Family Support Service,"Newington Manor, Callaways Lane",Newington,SITTINGBOURNE,ME9 7LU,Kent,291481,19/03/2014,Full inspection,Outstanding,,,,Outstanding,,,,,,,Outstanding,Outstanding,Outstanding,,,,,,,,,
SC049345,Active,Residential Special School,Frewen College,"Frewen Educational Trust Ltd, Frewen College Brickwall","Rye Road, Northiam",RYE,TN31 6NL,East Sussex,291925,18/03/2014,Full inspection,Adequate,,,,,,,,,,,,,,Good,Adequate,Inadequate,Adequate,,,,,
SC056408,Active,Residential Special School,Falconer School,Falconer School,Falconer Road,BUSHEY,WD23 3AT,Hertfordshire,279705,06/11/2013,Full inspection,Adequate,,,,,,,,,,,,,,Good,Good,Good,Inadequate,,,,,
SC042897,Active,Residential Special School,Percy Hedley School,Percy Hedley Residential Unit,"Kirkstone, 30 Leybourne Avenue",Newcastle upon Tyne,NE12 7AP,North Tyneside,286135,21/01/2014,Full inspection,Good,,,,,,,,,,,,,,Good,Adequate,Good,Good,,,,,
SC044128,Active,Residential Special School,Charlton Park Academy,Charlton Park Road,,Charlton,SE7 8HX,Greenwich,286250,20/01/2014,Full inspection,Good,,,,,,,,,,,,,,Outstanding,Good,Good,Good,,,,,
SC067647,Active,Residential Special School,Tadley Horizon,Tadley Common Road,Tadley,Basingstoke,RG26 3TB,Hampshire,279496,07/11/2013,Full inspection,Inadequate,,,,,,,,,,,,,,Good,Good,Inadequate,Inadequate,,,,,
SC056234,Active,Residential Special School,Holly House School,Holly House School,Church Street North Old Whittington,CHESTERFIELD,S41 9QR,Derbyshire,289195,26/02/2014,Full inspection,Good,,,,,,,,,,,,,,Good,Good,Good,Good,,,,,
SC473713,Active,Residential Special School,The Robert Ogden School,10 Thurnscoe Hall Mews High Street,Thurnscoe,ROTHERHAM,S63 0ST,Barnsley,288072,10/02/2014,Full inspection,Good,,,,,,,,,,,,,,Good,Good,Good,Good,,,,,
SC053319,Active,Residential Special School,The Harbour,"Harbour School, Station Road",Wilburton,ELY,CB6 3RR,Cambridgeshire,274330,18/10/2013,Full inspection,Outstanding,,,,,,,,,,,,,,Outstanding,Outstanding,Outstanding,Outstanding,,,,,
SC056396,Active,Residential Special School,Heathlands School,Heathlands School for Deaf Children,Heathlands Drive,ST. ALBANS,AL3 5AY,Hertfordshire,292031,17/03/2014,Full inspection,Good,,,,,,,,,,,,,,Good,Outstanding,Outstanding,Good,,,,,
